Fecha_Hora,Nombre,Contacto,Puntaje,Perfil,Respuestas
2026-09-10 18:21:19,kkk,kk,80,Choco Master,"{'pregunta_1': '1. Cremoso', 'pregunta_2': ""2. Hershey's Cookies 'n' Cream"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '4. Un antojo nocturno', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:23:52,cc,cc,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:29:20,ff,oo,105,Hershey's Legend,"{'pregunta_1': '4. ¡Todos!', 'pregunta_2': '4. Todos por su olor característico', 'pregunta_3': ""4. ¡Todos pertenecen a la familia Hershey's!"", 'pregunta_4': '4. Un antojo nocturno', 'pregunta_5': '4. Vivo para comer chocolate'}"
2026-09-11 09:32:27,444,33,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:34:55,ff,44,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:35:39,3,3,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:37:00,e,e,80,Choco Master,"{'pregunta_1': '2. Intenso', 'pregunta_2': ""2. Hershey's Cookies 'n' Cream"", 'pregunta_3': '2. Pelon Pelo Rico', 'pregunta_4': '2. Un café / merienda', 'pregunta_5': '2. Sé bastante, soy fan'}"
2026-09-11 09:42:06,3,3,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:42:40,3,w,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:46:04,v,4,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:46:37,f,f,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:47:13,7,7,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:55:45,e,w,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 09:57:48,4,4,87,Choco Master,"{'pregunta_1': '3. Con toppings', 'pregunta_2': ""3. Hershey's Special Dark"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '3. Compartir con amigos', 'pregunta_5': '3. ¡Soy un experto total!'}"
2026-09-11 15:22:58,d,c,85,Choco Master,"{'pregunta_1': '1. Cremoso', 'pregunta_2': ""2. Hershey's Cookies 'n' Cream"", 'pregunta_3': ""3. Reese's Peanut Butter Cups"", 'pregunta_4': '4. Un antojo nocturno', 'pregunta_5': '4. Vivo para comer chocolate'}"
